name,lat,lon,travelHours,distKm,sct,ssc,nearMuc,website
"Amberglift Walchsee","47.641227","12.295233","1.1","90.5","true","false","false","https://www.amberglift.at/"
"Bergbahnen Pillersee - Buchensteinwand - St. Ulrich","47.486326","12.587202","2.07","135.9","true","false","false","https://www.bergbahn-pillersee.com"
"Berwang","47.40807","10.74735","1.77","123.1","true","false","false",""
"Berwang/Bichlbach – Berwanger Sonnalmbahn","47.391","10.692","2.02","130.5","true","false","false","https://www.berwang.tirol"
"Biberwier – Marienberg","47.368","10.873","1.62","114.9","true","false","false","https://www.bergbahnen-langes.at"
"Brixen im Thale - SkiWelt","47.466333","12.234134","1.59","113.3","true","false","false","https://www.skiwelt.at"
"Buchensteinwand – Pillersee","47.497","12.576","1.98","133","true","false","false","https://www.bergbahn-pillersee.com"
"Ehrwald – Ehrwalder Alm","47.41","10.92","1.49","109.5","true","false","false","https://www.almbahn.at"
"Ehrwalder Alm","47.384912","10.968338","1.33","93.3","true","false","false","https://www.almbahn.tirol"
"Ehrwalder Wettersteinbahnen","47.410234","10.938698","1.61","112.7","true","false","false","https://www.wetterstein-bahnen.at/"
"Ellmau-Going - SkiWelt","47.519862","12.301404","1.41","110.3","true","false","false","https://www.skiwelt.at"
"Finkenberger Almbahnen","47.15285","11.821412","2.12","163.7","true","false","false","https://www.hintertuxergletscher.at/de/sommer/finkenberger-almbahnen/"
"Glungezer – Tulfes","47.235","11.522","2.02","167","true","false","false","https://www.glungezerbahn.at"
"Gschwandtkopflifte","47.3247875","11.1771783","1.69","123.8","true","false","false","https://www.skigebiet-seefeld.at/"
"Hintertuxer Gletscher","47.074","11.664","1.66","116.5","true","false","false","https://www.hintertuxergletscher.at"
"Hochalmlifte Christlum - Achenkirch","47.513119","11.697002","1.62","93","true","false","false","https://www.christlum.at"
"Hochfügen","47.269316","11.775599","1.77","147.3","true","false","false",""
"Hochkössen (Unterberghorn)","47.674","12.423","1.48","122.4","true","false","false","https://www.bergbahnen-koessen.at"
"Hochkrimml - Zillertal Arena","47.26179","11.88471","1.88","148.6","true","false","false","https://www.zillertalarena.com"
"Hochzillertal-Kaltenbach","47.296919","11.875362","1.7","142.3","true","false","false",""
"Hopfgarten - Itter - SkiWelt","47.449133","12.159385","1.41","114","true","false","false","https://www.skiwelt.at"
"Hüttegglift Weerberg","47.289792","11.683876","1.8","150.4","true","false","false","https://www.huettegglift.at/"
"Karwendel-Bergbahn - Pertisau","47.427522","11.695987","1.95","145.9","true","false","false","https://www.karwendel-bergbahn.at/skigebiet-achensee-ski-snowboard.html"
"Katzenkopf Leutasch","47.369026","11.164731","1.61","120.1","true","false","false","https://www.katzenkopf-leutasch.at"
"Kellerjochbahn Schwaz-Pill","47.321123","11.731026","1.82","145.5","true","false","false","https://www.kellerjochbahn.at/cms/"
"Kolsassberg","47.3","11.63333","1.68","146","true","false","false","https://www.kolsassberglift.at/"
"Königsleiten - Zillertal Arena","47.26179","11.88471","1.88","148.6","true","false","false","https://www.zillertalarena.com"
"Kössen","47.659278","12.391375","1.37","100.5","true","false","false","https://skisport.com/Hochkoessen/de"
"Lermoos – Grubigstein","47.401","10.879","1.54","111.4","true","false","false","https://www.bergbahnen-langes.at"
"Mayrhofen – Penken/Ahorn","47.167","11.861","2.03","159.7","true","false","false","https://www.mayrhofner-bergbahnen.com"
"Muttereralm - Nockspitzbahn","47.21978","11.321516","2.06","173.1","true","false","false","https://www.muttereralm.at"
"Nordkette - Innsbruck","47.285764","11.398915","2.03","169.1","true","false","false","https://www.nordkette.com/"
"Patscherkofel","47.208828","11.460608","2.11","170.1","true","false","false","https://www.patscherkofelbahn.at"
"Patscherkofel – Igls","47.215","11.43","1.92","165.2","true","false","false","https://www.patscherkofelbahn.at"
"Pitztaler Gletscher - Rifflsee","46.926822","10.879164","2.03","142.4","true","false","false","https://www.pitztaler-gletscher.at"
"Rangger Köpfl – Oberperfuss","47.264","11.259","1.89","132.8","true","false","false","https://www.rangger-koepfl.at"
"Rofan Seilbahn - Maurach","47.434393","11.757219","1.6","134.4","true","false","false","https://www.rofanseilbahn.at"
"Rosshütte - Seefeld in Tirol","47.331793","11.199848","1.64","119.6","true","false","false","https://www.rosshuette.at/"
"Schattwald - Zöblen im Tannheimertal","47.51667","10.45","1.97","187.4","true","false","false","https://www.tirol.at/reisefuehrer/sport/skifahren/skigebiete/a-schattwald-zoeblen"
"Scheffau - SkiWelt","47.41987","12.244438","1.94","130.8","true","false","false","https://www.skiwelt.at"
"Schneeberglifte Thiersee","47.5876839","12.0910096","1.15","98.1","true","false","false","https://www.schneeberglifte.at"
"Seefeld – Rosshütte","47.345","11.185","1.62","120.9","true","false","false","https://www.rosshuette.at"
"Serlesbahnen – Mieders","47.156","11.368","2.03","176.6","true","false","false","https://www.stubai.at/skigebiete/serlesbahnen"
